SITE,TRANSECT,YEAR,SP_CODE,mean_wet_weight,median_dry_weight,median_wet_weight,mean_dry_weight,NETWORK,PI,QUAD,SIDE,COUNT,AREA,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NOTES,geometry,transect_mean_wet_weight,transect_median_dry_weight,transect_median_wet_weight,transect_mean_dry_weight
SW Appledore,North Pepperrell,2016,AGCL,16.86865042645413,NA,19.6675861529132,NA,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.61996, 42.98606)",0,NA,0,NA
SW Appledore,North Pepperrell,2016,AGCL,16.86865042645413,NA,19.6675861529132,NA,KEEN ONE,Byrnes,8,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.61996, 42.98606)",0,NA,0,NA
SW Appledore,North Pepperrell,2016,SL,28.085903776102867,1.9155014408874949,17.7038523399398,1.9155014408874949,KEEN ONE,Byrnes,0,O,4,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61996, 42.98606)",112.34361510441147,7.662005763549979,70.8154093597592,7.662005763549979
SW Appledore,North Pepperrell,2016,SL,28.085903776102867,1.9155014408874949,17.7038523399398,1.9155014408874949,KEEN ONE,Byrnes,16,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61996, 42.98606)",0,0,0,0
SW Appledore,North Pepperrell,2016,SL,28.085903776102867,1.9155014408874949,17.7038523399398,1.9155014408874949,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61996, 42.98606)",0,0,0,0
SW Appledore,North Pepperrell,2016,SL,28.085903776102867,1.9155014408874949,17.7038523399398,1.9155014408874949,KEEN ONE,Byrnes,32,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61996, 42.98606)",28.085903776102867,1.9155014408874949,17.7038523399398,1.9155014408874949
SW Appledore,North Pepperrell,2016,SL,28.085903776102867,1.9155014408874949,17.7038523399398,1.9155014408874949,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61996, 42.98606)",0,0,0,0
SW Appledore,North Pepperrell,2016,SL,28.085903776102867,1.9155014408874949,17.7038523399398,1.9155014408874949,KEEN ONE,Byrnes,8,I,5,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61996, 42.98606)",140.42951888051434,9.577507204437474,88.519261699699,9.577507204437474
SW Appledore,North Pepperrell,2017,SL,8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157,KEEN ONE,Byrnes,0,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199, 42.98613)",8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157
SW Appledore,North Pepperrell,2017,SL,8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157,KEEN ONE,Byrnes,16,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199, 42.98613)",8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157
SW Appledore,North Pepperrell,2017,SL,8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199, 42.98613)",0,0,0,0
SW Appledore,North Pepperrell,2017,SL,8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157,KEEN ONE,Byrnes,32,O,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199, 42.98613)",8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157
SW Appledore,North Pepperrell,2017,SL,8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157,KEEN ONE,Byrnes,40,I,3,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199, 42.98613)",26.502820604312245,2.0633587730704708,15.257483090691151,2.0633587730704708
SW Appledore,North Pepperrell,2017,SL,8.834273534770748,0.687786257690157,5.08582769689705,0.687786257690157,KEEN ONE,Byrnes,8,I,2,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.6199, 42.98613)",17.668547069541496,1.375572515380314,10.1716553937941,1.375572515380314
SW Appledore,North Smith's Cove,2014,AGCL,38.139037073196,NA,38.139037073196,NA,KEEN ONE,Byrnes,0,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.618916983, 42.984961979)",0,NA,0,NA
SW Appledore,North Smith's Cove,2014,AGCL,38.139037073196,NA,38.139037073196,NA,KEEN ONE,Byrnes,16,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.618916983, 42.984961979)",0,NA,0,NA
SW Appledore,North Smith's Cove,2014,AGCL,38.139037073196,NA,38.139037073196,NA,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.618916983, 42.984961979)",0,NA,0,NA
SW Appledore,North Smith's Cove,2014,AGCL,38.139037073196,NA,38.139037073196,NA,KEEN ONE,Byrnes,32,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.618916983, 42.984961979)",0,NA,0,NA
SW Appledore,North Smith's Cove,2014,AGCL,38.139037073196,NA,38.139037073196,NA,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.618916983, 42.984961979)",0,NA,0,NA
SW Appledore,North Smith's Cove,2014,AGCL,38.139037073196,NA,38.139037073196,NA,KEEN ONE,Byrnes,8,I,3,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.618916983, 42.984961979)",114.41711121958801,NA,114.41711121958801,NA
SW Appledore,North Smith's Cove,2014,SL,37.738856526415304,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,0,O,4,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.618916983, 42.984961979)",150.95542610566122,4.0179352906818,32.20763777490968,4.0179352906818
SW Appledore,North Smith's Cove,2014,SL,37.738856526415304,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,16,O,33,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.618916983, 42.984961979)",1245.382265371705,33.14796614812485,265.71301164300485,33.14796614812485
SW Appledore,North Smith's Cove,2014,SL,37.738856526415304,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,24,I,3,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.618916983, 42.984961979)",113.21656957924591,3.01345146801135,24.15572833118226,3.01345146801135
SW Appledore,North Smith's Cove,2014,SL,37.738856526415304,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,32,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.618916983, 42.984961979)",0,0,0,0
SW Appledore,North Smith's Cove,2014,SL,37.738856526415304,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.618916983, 42.984961979)",0,0,0,0
SW Appledore,North Smith's Cove,2014,SL,37.738856526415304,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,8,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.618916983, 42.984961979)",0,0,0,0
SW Appledore,North Smith's Cove,2015,LADI,33.462365402173425,NA,21.959099057686252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-70.6188271287828, 42.9850580357015)",NA,NA,NA,NA
SW Appledore,North Smith's Cove,2016,SL,19.801725360139386,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,0,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61876, 42.98505)",0,0,0,0
SW Appledore,North Smith's Cove,2016,SL,19.801725360139386,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,16,O,2,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61876, 42.98505)",39.60345072027877,2.0089676453409,16.10381888745484,2.0089676453409
SW Appledore,North Smith's Cove,2016,SL,19.801725360139386,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,24,I,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61876, 42.98505)",19.801725360139386,1.00448382267045,8.05190944372742,1.00448382267045
SW Appledore,North Smith's Cove,2016,SL,19.801725360139386,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,32,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61876, 42.98505)",0,0,0,0
SW Appledore,North Smith's Cove,2016,SL,19.801725360139386,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61876, 42.98505)",0,0,0,0
SW Appledore,North Smith's Cove,2016,SL,19.801725360139386,1.00448382267045,8.05190944372742,1.00448382267045,KEEN ONE,Byrnes,8,I,2,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61876, 42.98505)",39.60345072027877,2.0089676453409,16.10381888745484,2.0089676453409
SW Appledore,North Smith's Cove,2017,AGCL,29.8188993696844,NA,29.8188993696844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-70.61884, 42.98479)",NA,NA,NA,NA
SW Appledore,North Smith's Cove,2017,SL,16.149206987763915,0.778752219919123,5.91291566426895,0.778752219919123,KEEN ONE,Byrnes,0,O,6,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61884, 42.98479)",96.89524192658348,4.672513319514739,35.4774939856137,4.672513319514739
SW Appledore,North Smith's Cove,2017,SL,16.149206987763915,0.778752219919123,5.91291566426895,0.778752219919123,KEEN ONE,Byrnes,16,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61884, 42.98479)",0,0,0,0
SW Appledore,North Smith's Cove,2017,SL,16.149206987763915,0.778752219919123,5.91291566426895,0.778752219919123,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61884, 42.98479)",0,0,0,0
SW Appledore,North Smith's Cove,2017,SL,16.149206987763915,0.778752219919123,5.91291566426895,0.778752219919123,KEEN ONE,Byrnes,32,O,4,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61884, 42.98479)",64.59682795105566,3.115008879676492,23.6516626570758,3.115008879676492
SW Appledore,North Smith's Cove,2017,SL,16.149206987763915,0.778752219919123,5.91291566426895,0.778752219919123,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61884, 42.98479)",0,0,0,0
SW Appledore,North Smith's Cove,2017,SL,16.149206987763915,0.778752219919123,5.91291566426895,0.778752219919123,KEEN ONE,Byrnes,8,I,8,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.61884, 42.98479)",129.19365590211132,6.230017759352984,47.3033253141516,6.230017759352984
SW Appledore,South Pepperrell,2014,SL,13.377710034082094,0.600511450989833,4.31392659388209,0.600511450989833,KEEN ONE,Byrnes,0,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619861037, 42.985265991)",0,0,0,0
SW Appledore,South Pepperrell,2014,SL,13.377710034082094,0.600511450989833,4.31392659388209,0.600511450989833,KEEN ONE,Byrnes,16,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619861037, 42.985265991)",0,0,0,0
SW Appledore,South Pepperrell,2014,SL,13.377710034082094,0.600511450989833,4.31392659388209,0.600511450989833,KEEN ONE,Byrnes,24,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619861037, 42.985265991)",0,0,0,0
SW Appledore,South Pepperrell,2014,SL,13.377710034082094,0.600511450989833,4.31392659388209,0.600511450989833,KEEN ONE,Byrnes,32,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619861037, 42.985265991)",0,0,0,0
SW Appledore,South Pepperrell,2014,SL,13.377710034082094,0.600511450989833,4.31392659388209,0.600511450989833,KEEN ONE,Byrnes,40,I,0,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619861037, 42.985265991)",0,0,0,0
SW Appledore,South Pepperrell,2014,SL,13.377710034082094,0.600511450989833,4.31392659388209,0.600511450989833,KEEN ONE,Byrnes,8,I,1,1,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NA,"c(-70.619861037, 42.985265991)",13.377710034082094,0.600511450989833,4.31392659388209,0.600511450989833
SW Appledore,South Pepperrell,2016,AGCL,30.7542627424839,NA,30.7542627424839,NA,KEEN ONE,Byrnes,0,O,0,1,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum,NA,"c(-70.61964, 42.98566)",0,NA,0,NA
