NETWORK,PI,YEAR,MONTH,DAY,SITE,TRANSECT,SP_CODE,BLADE_LENGTH_CM,WIDTH_CM,STIPE_LENGTH_CM,WET_WEIGHT,DRY_WEIGHT,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,SL,111,32,7,46.7046314575628,4.27863888460453,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,SL,216,27.5,15,154.60472428274,11.4777553505283,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,AGCL,16,7,1,3.37551670952193,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,AGCL,22,8,1.5,6.34381238415259,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,SL,157,21,9.5,86.2633628087675,7.09526271133119,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,SL,145,26,14.5,79.9071713685634,6.66141383665141,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,SL,190,38,7.5,116.940994951755,9.11798838974335,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,SL,75,28,2.5,22.0801411981451,2.30725271657579,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,SL,108,16,19.5,53.6148828879228,4.7940816503896,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NE Appledore,Norwegian Cove,AGCL,15.5,8,1.5,3.37551670952193,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,22.5,7.8,2.5,2.94032480622117,0.437809153917691,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,54.2,26.5,3.3,12.9716228080045,1.48820592364543,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,94.9,27.4,4.5,34.4039849825572,3.32561188596013,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,28,8.75,1.5,3.94901737807618,0.558315270596128,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,94,22.4,8,36.0239821289663,3.45417723291249,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,70.2,19.5,9.2,23.0540031281487,2.39082221794004,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,24.2,10.6,6.8,4.31392659388209,0.600511450989833,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,41.1,17.5,2.1,7.79288467469249,0.977769732101861,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,52.4,13.5,3,12.1394947932025,1.40905131441281,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,158.4,25,6.5,84.7917152689897,6.99532841018555,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,20.1,8.5,1.9,2.34133431168194,0.36285230239974,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,19.4,7,1.6,2.1550680863764198,0.338884034608777,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,17.5,8.4,2,1.8884604327788,0.303928767636218,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NE Appledore,Devil's Dance Floor,SL,18.3,7.4,1.5,1.94054438904768,0.310822271181303,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,AGCL,36,19,2,16.1828053488711,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,AGCL,47.5,24,2,27.089137937636,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,33,11.5,2,5.35544381569756,0.717706570525931,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,17.5,5,0.5,1.63742650685584,0.270213022296134,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,181,33.5,1.5,101.586651330045,8.11906688743401,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,49.5,15.5,4,11.4075571183348,1.33863652548053,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,26,8.5,1.5,3.48463322219355,0.503605764105354,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,26.5,10.5,1.5,3.5983369153797,0.517113782494903,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,54.5,21,3,12.9716228080045,1.48820592364543,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,SL,35,11,2,5.91291566426895,0.778752219919123,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,19,NE Appledore,Broadway and 42nd,AGCL,12.5,8,0.1,1.88308332741463,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Sandpiper Beach,SL,67,11,4,18.8889836133773,2.02866099579371,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Sandpiper Beach,SL,69,24,3,19.3656786536611,2.07077256383889,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,SL,17.5,5,1,1.71935767827336,0.281310688752892,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,SL,47.5,36.5,2,9.93236513857379,1.19422457036121,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,SL,70.5,18.5,3.5,20.3346703798524,2.15581932815103,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,SL,54,12.5,3,12.7713028985935,1.46923453475279,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,SL,61.5,16,3.5,16.1390443103315,1.78188916035218,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,18,NW Appledore,Larus Ledge,SL,29.5,9,1.5,4.31392659388209,0.600511450989833,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,248.6,45.3,34,221.439451537347,15.4341552486399,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,114,25.5,25,62.5343422902031,5.44251590138623,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,137,28.5,11,69.9314590187667,5.96795342183708,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,123,29,1.9,51.6821387432107,4.65115900917038,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,112.5,28.5,18.5,56.2656915788692,4.98864383285321,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,107,39.5,22,54.744069227226,4.87716276448997,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,44,21,4,9.40238645341784,1.14144329864635,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,AGCL,42.5,36.5,1,21.059480809188,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,AGCL,24.5,20,0.5,7.15670959685683,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,37.5,11,4.5,7.41133506222972,0.938132480556238,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,AGCL,26.5,25,NA,NA,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,AGCL,36.8,19.2,3,17.7100443280084,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,AGCL,33,14,1.5,13.4054618990409,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,AGCL,26.5,14.5,2,9.23843033408216,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,33.8,14.2,3,5.85608032778508,0.772576352135472,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,AGCL,30.5,21.5,NA,NA,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,28,9.7,1.4,3.92519426125047,0.555537261175635,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,42,12.5,2.5,8.21568447976654,1.02129644726256,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,North Head,SL,38.5,11,3.5,7.41133506222972,0.938132480556238,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,171,34,5,95.2291233730054,7.69784343896791,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,AGCL,29,14,1.9,10.8148521604516,NA,Algae,Phaeophyta,Brown Algae,NA,Shotgun Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Agarum,Agarum clathratum
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,21.6,6,2,2.65335525869141,0.402270974321807,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,35,7.8,3,6.20069802426108,0.809865816806251,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,35,11.5,3,6.20069802426108,0.809865816806251,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,40.5,10,3.7,8.11724578654393,1.01119817864133,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,14.5,4.75,1.5,1.32741897524071,0.227281046050879,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,19.5,5.8,0.8,2.02872953555443,0.322420498203115,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,24,11,1.5,3.04593628115993,0.450732101608238,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,19.5,3.8,0.8,2.02872953555443,0.322420498203115,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,21,NW Appledore,Magic 8 Ball,SL,24.5,7.5,1.5,3.15317967513856,0.463774443735061,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,17,SW Appledore,North Smith's Cove,SL,200,39,52,180.535235199752,13.0427256593669,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
KEEN ONE,Byrnes,2014,7,17,SW Appledore,North Smith's Cove,SL,42,9,1,7.72870979449003,0.971127217784924,Algae,Phaeophyta,Brown Algae,NA,Sugar Kelp,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima
