Year,Transect,Level,Replicate,Data_taken,Note_header,Note_value,Source
1988,15,6,3,yes,Z1-Quality,poor,percent_cover
1990,15,6,1,yes,Z1-Quality,mediocre--current system makes it difficult to record data for species like LRGTs (that usually occupy rock space) when they happen to occur epibiotically,percent_cover
1990,15,6,2,yes,Z1-Quality,mediocre--current system makes it difficult to record data for species like LRGTs (that usually occupy rock space) when they happen to occur epibiotically,percent_cover
1990,15,6,3,yes,Z1-Quality,mediocre--current system makes it difficult to record data for species like LRGTs (that usually occupy rock space) when they happen to occur epibiotically,percent_cover
1990,15,8,1,yes,Z1-Quality,mediocre--current system makes it difficult to record data for species like LRGTs (that usually occupy rock space) when they happen to occur epibiotically,percent_cover
1990,15,9,1,yes,Z1-Quality,mediocre--current system makes it difficult to record data for species like LRGTs (that usually occupy rock space) when they happen to occur epibiotically,percent_cover
1990,15,9,2,yes,Z1-Quality,mediocre--current system makes it difficult to record data for species like LRGTs (that usually occupy rock space) when they happen to occur epibiotically,percent_cover
1990,15,9,3,yes,Z1-Quality,mediocre--current system makes it difficult to record data for species like LRGTs (that usually occupy rock space) when they happen to occur epibiotically,percent_cover
1995,15,11,1,yes,Z1-Quality,could not correct percent cover (MME),percent_cover
1995,15,15,2,yes,Z1-Quality,suspect,percent_cover
1982,20,7,1,yes,Z1-Quality,Ceramium = 1 plant,percent_cover
1982,20,8,1,yes,Z1-Quality,Chondrus canopy = 7plants,percent_cover
1982,20,10,1,yes,Z1-Quality,Ceramium = 7plants,percent_cover
1982,20,12,1,yes,Z1-Quality,Mastocarpus canopy = 1plant,percent_cover
1983,20,3,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGT (that usually occur as basal cover) when they occur as epibionts,percent_cover
1983,20,5,1,yes,Z1-Quality,Fucus spiralis canopy = 20plants,percent_cover
1983,20,7,1,yes,Z1-Quality,Fucus spiralis canopy = 3plants,percent_cover
1988,20,0,1,yes,Z1-Quality,fair,percent_cover
1988,20,1,1,yes,Z1-Quality,fair,percent_cover
1988,20,2,1,yes,Z1-Quality,fair,percent_cover
1988,20,2,2,yes,Z1-Quality,fair,percent_cover
1988,20,3,1,yes,Z1-Quality,fair,percent_cover
1988,20,4,1,yes,Z1-Quality,fair,percent_cover
1988,20,5,1,yes,Z1-Quality,fair,percent_cover
1988,20,6,1,yes,Z1-Quality,fair,percent_cover
1988,20,6,2,yes,Z1-Quality,fair,percent_cover
1988,20,6,3,yes,Z1-Quality,fair,percent_cover
1988,20,7,1,yes,Z1-Quality,fair,percent_cover
1988,20,8,1,yes,Z1-Quality,fair,percent_cover
1988,20,9,1,yes,Z1-Quality,fair,percent_cover
1988,20,9,2,yes,Z1-Quality,fair,percent_cover
1988,20,9,3,yes,Z1-Quality,fair,percent_cover
1988,20,10,1,yes,Z1-Quality,fair,percent_cover
1988,20,11,1,yes,Z1-Quality,fair,percent_cover
1988,20,12,1,yes,Z1-Quality,fair,percent_cover
1988,20,12,2,yes,Z1-Quality,fair,percent_cover
1988,20,12,3,yes,Z1-Quality,fair,percent_cover
1990,20,5,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGT (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,6,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,6,2,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,6,3,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,7,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,8,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,9,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,9,3,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1990,20,11,2,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1992,20,9,1,yes,Z1-Quality,poor,percent_cover
1992,20,9,3,yes,Z1-Quality,poor,percent_cover
1993,20,0,1,yes,Z1-Quality,poor,percent_cover
1993,20,0,2,yes,Z1-Quality,poor,percent_cover
1993,20,0,3,yes,Z1-Quality,poor,percent_cover
1993,20,1,1,yes,Z1-Quality,poor,percent_cover
1993,20,1,2,yes,Z1-Quality,poor,percent_cover
1993,20,1,3,yes,Z1-Quality,poor,percent_cover
1993,20,2,1,yes,Z1-Quality,poor,percent_cover
1993,20,2,2,yes,Z1-Quality,poor,percent_cover
1993,20,2,3,yes,Z1-Quality,poor,percent_cover
1993,20,3,1,yes,Z1-Quality,poor,percent_cover
1993,20,3,2,yes,Z1-Quality,poor,percent_cover
1993,20,3,3,yes,Z1-Quality,poor,percent_cover
1993,20,4,1,yes,Z1-Quality,poor,percent_cover
1993,20,4,2,yes,Z1-Quality,poor,percent_cover
1993,20,4,3,yes,Z1-Quality,poor,percent_cover
1993,20,5,1,yes,Z1-Quality,poor,percent_cover
1993,20,5,2,yes,Z1-Quality,poor,percent_cover
1993,20,5,3,yes,Z1-Quality,poor,percent_cover
1993,20,6,1,yes,Z1-Quality,poor,percent_cover
1993,20,6,2,yes,Z1-Quality,poor,percent_cover
1993,20,6,3,yes,Z1-Quality,poor,percent_cover
1993,20,7,1,yes,Z1-Quality,poor,percent_cover
1993,20,7,2,yes,Z1-Quality,poor,percent_cover
1993,20,7,3,yes,Z1-Quality,poor,percent_cover
1993,20,8,1,yes,Z1-Quality,poor,percent_cover
1993,20,8,2,yes,Z1-Quality,poor,percent_cover
1993,20,8,3,yes,Z1-Quality,poor,percent_cover
1993,20,9,1,yes,Z1-Quality,poor,percent_cover
1993,20,9,2,yes,Z1-Quality,poor,percent_cover
1993,20,9,3,yes,Z1-Quality,poor,percent_cover
1993,20,10,1,yes,Z1-Quality,poor,percent_cover
1993,20,10,2,yes,Z1-Quality,poor,percent_cover
1993,20,10,3,yes,Z1-Quality,poor,percent_cover
1993,20,11,1,yes,Z1-Quality,poor,percent_cover
1993,20,11,2,yes,Z1-Quality,poor,percent_cover
1993,20,11,3,yes,Z1-Quality,poor,percent_cover
1993,20,12,1,yes,Z1-Quality,poor,percent_cover
1993,20,12,2,yes,Z1-Quality,poor,percent_cover
1993,20,12,3,yes,Z1-Quality,poor,percent_cover
1995,20,5,2,yes,Z1-Quality,poor,percent_cover
1995,20,8,1,yes,Z1-Quality,poor,percent_cover
1995,20,8,2,yes,Z1-Quality,poor,percent_cover
1998,20,11,1,yes,Z1-Quality,poor,percent_cover
2004,20,4,3,yes,Z1-Quality,black zone sp= 80% Cyanobacteria plus 5% Verrucaria,percent_cover
1983,22,7,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species like LRGTs (that usually occur as basal cover) when they occur as epibionts,percent_cover
1986,22,0,1,yes,Z1-Quality,poor,percent_cover
1986,22,1,1,yes,Z1-Quality,poor,percent_cover
1986,22,2,1,yes,Z1-Quality,poor,percent_cover
1986,22,3,1,yes,Z1-Quality,poor,percent_cover
1986,22,4,1,yes,Z1-Quality,poor,percent_cover
1986,22,5,1,yes,Z1-Quality,poor,percent_cover
1986,22,6,1,yes,Z1-Quality,poor,percent_cover
1986,22,6,2,yes,Z1-Quality,poor,percent_cover
1986,22,6,3,yes,Z1-Quality,poor,percent_cover
1986,22,7,1,yes,Z1-Quality,poor,percent_cover
1986,22,8,1,yes,Z1-Quality,poor,percent_cover
1986,22,8,2,yes,Z1-Quality,poor,percent_cover
1986,22,8,3,yes,Z1-Quality,poor,percent_cover
1986,22,9,1,yes,Z1-Quality,poor,percent_cover
1986,22,10,1,yes,Z1-Quality,poor,percent_cover
1986,22,10,2,yes,Z1-Quality,poor,percent_cover
1986,22,10,3,yes,Z1-Quality,poor,percent_cover
1986,22,11,1,yes,Z1-Quality,poor,percent_cover
1986,22,12,1,yes,Z1-Quality,poor,percent_cover
1986,22,13,1,yes,Z1-Quality,poor,percent_cover
1989,22,1,1,yes,Z1-Quality,poor,percent_cover
1989,22,2,1,yes,Z1-Quality,poor,percent_cover
1989,22,3,1,yes,Z1-Quality,poor,percent_cover
1989,22,4,1,yes,Z1-Quality,poor,percent_cover
1989,22,5,1,yes,Z1-Quality,poor--all % cover data suspect for this replicate,percent_cover
1989,22,6,1,yes,Z1-Quality,poor--all % cover data suspect for this replicate,percent_cover
1989,22,7,1,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,7,2,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,7,3,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,8,1,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,9,1,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,10,1,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,10,2,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,10,3,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,11,1,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,12,1,yes,Z1-Quality,poor,percent_cover
1989,22,13,1,yes,Z1-Quality,poor in general and because of lost LRGT data,percent_cover
1989,22,13,2,yes,Z1-Quality,poor,percent_cover
1989,22,13,3,yes,Z1-Quality,poor,percent_cover
1989,22,14,1,yes,Z1-Quality,poor,percent_cover
1991,22,12,1,yes,Z1-Quality,mediocre--current system not set up ro record data for species that usually occur as basal cover when they occur as epibionts,percent_cover
1991,22,12,2,yes,Z1-Quality,mediocre--current system not set up ro record data for species that usually occur as basal cover when they occur as epibionts,percent_cover
1995,22,13,1,yes,Z1-Quality,poor,percent_cover
1984,24,5,1,yes,Z1-Quality,poor,percent_cover
1986,24,5,1,yes,Z1-Quality,poor,percent_cover
1986,24,6,1,yes,Z1-Quality,poor,percent_cover
1986,24,6,2,yes,Z1-Quality,poor,percent_cover
1986,24,6,3,yes,Z1-Quality,poor,percent_cover
1986,24,7,1,yes,Z1-Quality,poor,percent_cover
1991,24,4,1,yes,Z1-Quality,mediocre,percent_cover
1991,24,4,2,yes,Z1-Quality,mediocre,percent_cover
1991,24,4,3,yes,Z1-Quality,mediocre,percent_cover
1991,24,6,2,yes,Z1-Quality,poor,percent_cover
1991,24,6,3,yes,Z1-Quality,poor,percent_cover
1991,24,7,1,yes,Z1-Quality,poor,percent_cover
1991,24,8,1,yes,Z1-Quality,poor,percent_cover
1991,24,8,2,yes,Z1-Quality,poor,percent_cover
1991,24,8,3,yes,Z1-Quality,poor,percent_cover
1991,24,9,1,yes,Z1-Quality,poor,percent_cover
1991,24,10,1,yes,Z1-Quality,poor,percent_cover
1991,24,10,2,yes,Z1-Quality,poor,percent_cover
1991,24,10,3,yes,Z1-Quality,poor,percent_cover
1991,24,12,1,yes,Z1-Quality,poor,percent_cover
1991,24,12,2,yes,Z1-Quality,poor,percent_cover
1991,24,13,1,yes,Z1-Quality,poor,percent_cover
1991,24,14,1,yes,Z1-Quality,poor,percent_cover
1991,24,14,2,yes,Z1-Quality,poor,percent_cover
1991,24,14,3,yes,Z1-Quality,poor,percent_cover
1998,24,13,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1988,26,11,1,yes,Z1-Quality,poor,percent_cover
1988,26,12,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1988,26,12,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1988,26,12,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1990,26,7,1,yes,Z1-Quality,poor (cannot restore original canopy values),percent_cover
1992,26,8,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1992,26,9,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1992,26,9,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1992,26,10,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1992,26,10,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1992,26,10,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,9,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,10,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,10,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data  some dead Mytilus were included in data,percent_cover
1993,26,11,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,11,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,11,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,12,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,12,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,12,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,13,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,13,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,13,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1993,26,14,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1995,26,7,3,yes,Z1-Quality,poor,percent_cover
1995,26,8,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1995,26,8,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
1995,26,9,1,yes,Z1-Quality,poor,percent_cover
2004,26,0,1,yes,Z1-Quality,19 levels---claim are are intertidal….bizarre….did they just have really amazing tides in 2004 and therefore consufe subtidal areas with intertidal areas? Or did they measure wrong?,percent_cover
2004,26,9,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,26,9,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,26,10,1,yes,Z1-Quality,mediocre--possible misidentification,percent_cover
2004,26,11,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,26,11,3,yes,Z1-Quality,mediocre--possible misidentification,percent_cover
2004,26,12,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,26,12,2,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,26,13,1,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,26,14,3,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,15,1,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,16,1,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,17,1,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,17,2,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,17,3,yes,Z1-Quality,mediocre--apparent mismatch between canopy and basal cover data,percent_cover
2004,26,18,1,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,18,2,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,18,3,yes,Z1-Quality,mediocre--possible misidentification,percent_cover
2004,26,19,1,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,19,2,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2004,26,19,3,yes,Z1-Quality,"mediocre--student are not clear whether the ""coralline crust"" they record confomrs to the 1998 definition of coralline crust or if it is the crustose form of Corallina",percent_cover
2000,28,7,3,yes,Z1-Quality,suspect--any Bonnemaisonia in Q7 would have been drift,percent_cover
1982,2,3,1,yes,Z2-Notes,black zone sp=Cyanobacteria,percent_cover
1982,2,4,1,yes,Z2-Notes,black zone sp=Cyanobacteria,percent_cover
1982,2,5,1,yes,Z2-Notes,black zone sp=Cyanobacteria,percent_cover
1982,2,6,1,yes,Z2-Notes,LRGT recorded as 50%Sb instead of overall percent cover,percent_cover
1982,2,7,1,yes,Z2-Notes,6/2/2005 EK no %cover for Fucus  Chondrus and Masto - unclear how to reduce %cover of Hilden,percent_cover
1982,2,8,1,yes,Z2-Notes,"2/2008: MME: ""Pto;pta"" (Ptilota?) =1 plant  no % cover given",percent_cover
1982,2,10,1,yes,Z2-Notes,2/2008 MME: Fucus spp canopy=2plants  no % cover given,percent_cover
1982,2,11,1,yes,Z2-Notes,2/2008 MME: Corralina= 1 plant,percent_cover
1982,2,12,1,yes,Z2-Notes,2/2008 MME: Corralina= 3 plants; Leathesia=6plants,percent_cover
1982,2,13,1,yes,Z2-Notes,2/2008 MME: Corralina= 1 plant,percent_cover
1982,2,14,1,yes,Z2-Notes,6/2/2005 EK students recorded 100%canopy Chondrus  100%rock+host Cryptosula  5%rock Ulva and unspecified %cover of Laminaria - uncertain how to resolve,percent_cover
1983,2,4,1,yes,Z2-Notes,black zone sp=10% LRGTs plus 90% Cyanobacteria,percent_cover
1983,2,5,1,yes,Z2-Notes,black zone sp=12.5% LRGTs plus 37.5% Cyanobacteria,percent_cover
1983,2,6,1,yes,Z2-Notes,students recorded 47.5 % Palmellococcus cover (did not specificy basal versus canopy),percent_cover
1983,2,7,1,yes,Z2-Notes,black zone sp=LRGTs,percent_cover
1983,2,9,1,yes,Z2-Notes,Phymatolithon recorded as present  no cover data given,percent_cover
1983,2,13,1,yes,Z2-Notes,Verrucaria sp=LRGTs,percent_cover
1984,2,3,1,yes,Z2-Notes,black zone sp=Cyanobacteria,percent_cover
1984,2,4,1,yes,Z2-Notes,black zone sp=Cyanobacteria,percent_cover
1984,2,5,1,yes,Z2-Notes,black zone sp=0.5% LRGTs plus 95% Cyanobacteria,percent_cover
1984,2,6,1,yes,Z2-Notes,black zone sp=0.5% LRGTs plus 1% Cyanobacteria,percent_cover
1984,2,9,1,yes,Z2-Notes,students recorded 29% Rhodochorton cover (basal vs canopy not specified),percent_cover
1987,2,2,1,yes,Z2-Notes,8/19/97 TJF - General note: Percent cover values are poorly discerned among species noted as present. Fucoids and erect red algae were often given values as groups. In those cases  I divided the percentage evenly among the species listed.,percent_cover
1987,2,5,1,yes,Z2-Notes,8/19/97 TJF - Primary % cover added to 120%  so I reduced Fucus base from 30% to 10%. I also divided the recorded 70% canopy evenly among the three Fucus species reported; 2/2008: MME: restored original data values  listed 70% canopy as Fucus sp…,percent_cover
1987,2,6,2,yes,Z2-Notes,black zone sp=Verrucaria,percent_cover
1987,2,6,3,yes,Z2-Notes,black zone sp=Verrucaria,percent_cover
1987,2,7,1,yes,Z2-Notes,8/19/97 TJF - Primary % cover added to 110%  so I reduced Hild from 50% to 40%; 2/2008: MME: restored data to original values,percent_cover
1987,2,9,1,yes,Z2-Notes,8/19/97 TJF - Primary % cover added to 105%  so I reduced Chond./Mast. holdfasts from 90% to 85% and divided that percentage proportionally between the two; 2/2008: MME: returned overall Chondrus/Masto holdfast percentage to 90  split proportionatley between Chondrus and Masto according to 6 to 4 ratio of canopy cover (54% Chondrus base  36% masto base),percent_cover
1988,2,4,1,yes,Z2-Notes,"7/29/97 TJF - Primary % cover added to 107%  so I reduced Artho from 60% to 56% and Black zone from 40% to 37%; 2/2008: MME: restored data to original values--""black zone"" appears to be represented by Cyano bacteria column here  based on TJF's comments…",percent_cover
